user_id,course_id,rating
1,CSE101,9.0
1,MTH100,9.0
1,COM101,8.5
1,DES102,5.0
1,CSE102A,4.5
1,CSE140,8.5
1,MTH201B,3.0
1,CSE112A,6.5
1,ECO223,3.0
1,CSE231A,5.0
1,MTH203A,8.5
1,CSE121,7.0
1,CSE201B,9.0
1,ECE250,10.0
1,SSH325,6.5
1,MTH372,6.5
1,CSE222B,8.5
1,CSE342,5.0
1,CSE502A,6.5
1,CSE502,10.0
1,CSE524,6.5
1,CSE521,6.5
1,COM301A,6.5
1,ESC205,8.5
1,ECE343,4.5
1,CSE344,7.0
1,MTH342,5.0
1,MTH310,3.0
1,ECE331,5.0
1,MTH341,6.5
1,MTH373,6.5
1,ECE431,7.0
1,CSE643,3.0
2,CSE101,4.5
2,MTH100,10.0
2,COM101,7.0
2,DES102,3.0
2,ECE111,6.5
2,CSE102B,10.0
2,BIO102,7.0
2,MTH201A,10.0
2,CSE112A,8.5
2,SSH101,10.0
2,CSE231A,5.0
2,BIO214,10.0
2,CSE121,7.0
2,CSE201B,10.0
2,CSE222A,4.5
2,CSE202B,9.0
2,MTH310,8.5
2,BIO213,8.5
2,BIO221,9.0
2,CSE521,10.0
2,CSE502B,7.0
2,CSE524,5.0
2,CSE502A,10.0
2,COM301A,3.0
2,ESC205,5.0
2,CSE344,8.0
2,CSE465,4.5
2,CSE322,3.0
2,SSH335,8.5
2,BIO321,6.5
2,SSH240,6.5
2,CSE634,4.5
2,CSE643,3.0
3,CSE101,8.5
3,MTH100,3.0
3,COM101,7.0
3,DES102,6.5
3,ECE111,4.5
3,CSE102A,9.0
3,MTH201A,10.0
3,CSE112B,5.0
3,SOC101,9.0
3,ECE215,7.0
3,MTH270,10.0
3,ECE250,6.5
3,MTH203B,4.5
3,SOC216,10.0
3,ECE230,7.0
3,ECE214,4.5
3,ECE210,7.0
3,ECE211,3.0
3,ESC207,10.0
3,ECE314,9.0
3,ECE431,6.5
3,ECE312,4.5
3,COM301A,4.5
3,ESC205,5.0
3,ECE331,10.0
3,ECE343,10.0
3,SSH325,4.5
3,CSE557,6.5
3,MTH373,4.5
3,SSH240,7.0
3,CSE634,7.0
4,CSE101,9.0
4,MTH100,4.5
4,COM101,8.5
4,DES102,3.0
4,ECE111,7.0
4,CSE102B,6.5
4,BIO102,5.0
4,CSE112B,8.5
4,ECO223,6.5
4,CSE231B,7.0
4,BIO214,9.0
4,MTH210,6.5
4,CSE201B,6.5
4,CSE222B,3.0
4,CSE202A,5.0
4,MTH300,7.0
4,BIO221,7.0
4,CSE521,8.5
4,CSE502A,10.0
4,BIO542,8.5
4,CSE524,10.0
4,COM301A,3.0
4,ESC205,10.0
4,CSE344,6.0
4,CSE478,8.0
4,BIO361,5.0
4,BIO544,7.0
4,SSH240,8.5
4,BIO321,5.0
4,CSE557,7.0
4,CSE643,5.0
5,CSE101,9.0
5,MTH100,9.0
5,DES102,6.5
5,ECE111,9.0
5,CSE102A,8.5
5,ECE113A,3.0
5,MTH201B,3.0
5,CSE112B,8.5
5,ECO223,10.0
5,ECE215,7.0
5,ECE250,7.0
5,MTH203A,6.5
5,CSE201A,9.0
5,ECE230,3.0
5,ECE214,3.0
5,ECE240,9.0
5,ECO524,8.5
5,ECE518,8.5
5,ECE312,4.5
5,ECE312,6.5
5,SSH614,6.5
5,COM301A,4.5
5,ESC205,4.5
5,MTH310,9.0
5,CSE322,7.0
5,ECE343,6.0
5,SSH711,10.0
5,CSE556,6.5
5,ECE351,8.5
5,CSE643,8.5
5,SSH711,7.0
6,CSE101,4.5
6,MTH100,8.5
6,COM101,6.5
6,DES102,5.0
6,ECE111,5.0
6,CSE102B,10.0
6,SOC101,4.5
6,CSE112B,7.0
6,SSH101,7.0
6,CSE231B,6.5
6,SSH201,7.0
6,MTH210,9.0
6,CSE201A,7.0
6,MTH203B,5.0
6,CSE222B,8.5
6,MTH377,6.5
6,CSE202A,7.0
6,ECO221,7.0
6,MTH204A,6.5
6,SSH614,10.0
6,CSE524,5.0
6,CSE502,5.0
6,CSE232,8.5
6,COM301A,7.0
6,ESC205,5.0
6,CSE478,6.5
6,CSE322,8.5
6,MTH342,8.0
6,CSE344,10.0
6,ENT304,6.5
6,CSE557,7.0
6,SSH240,9.0
6,SSH711,5.0
7,CSE101,9.0
7,MTH100,10.0
7,COM101,10.0
7,DES102,8.5
7,ECE111,10.0
7,CSE102A,8.5
7,DES101,8.5
7,MTH201A,9.0
7,CSE112B,10.0
7,DES202,8.5
7,CSE231A,10.0
7,SSH201,10.0
7,CSE201A,9.0
7,DES201,8.5
7,MTH203A,5.0
7,CSE222B,4.5
7,DES206,8.5
7,DES205,3.0
7,CSE202A,9.0
7,ENT304,8.5
7,CSE232,7.0
7,CSE502A,3.0
7,CSE524,5.0
7,CSE502,10.0
7,COM301A,10.0
7,ESC205,6.5
7,CSE465,3.0
7,SSH711,5.0
7,CSE557,8.5
7,CSE643,7.0
7,CSE634,6.5
8,MTH100,10.0
8,COM101,9.0
8,DES102,8.5
8,ECE111,9.0
8,CSE102A,3.0
8,ECE113B,3.0
8,CSE112B,8.5
8,ECO223,10.0
8,CSE201B,7.0
8,CSE231B,8.5
8,CSE121,9.0
8,MTH270,6.5
8,SOC216,10.0
8,CSE202B,8.5
8,BIO221,9.0
8,CSE222A,10.0
8,MTH204B,4.5
8,MTH377,9.0
8,ECE312,6.5
8,ECE431,6.5
8,CSE232,9.0
8,COM301A,3.0
8,ESC205,6.5
8,CSE344,6.5
8,MTH310,6.0
8,CSE478,4.5
8,CSE322,5.0
8,ECE351,3.0
8,ECE431,4.5
8,MTH341,4.5
8,CSE557,7.0
8,CSE643,7.0
9,CSE101,6.5
9,MTH100,3.0
9,COM101,9.0
9,DES102,9.0
9,ECE111,9.0
9,CSE102B,7.0
9,ECE113B,4.5
9,MTH201B,9.0
9,CSE112B,4.5
9,ECO223,9.0
9,ECE215,3.0
9,MTH270,8.5
9,ECE250,8.5
9,CSE201B,9.0
9,ECE230,7.0
9,ECE214,4.5
9,ECE240,9.0
9,MTH204A,9.0
9,SOC210,10.0
9,ECE518,10.0
9,ECE312,6.5
9,ECE528,3.0
9,ECE314,10.0
9,COM301A,10.0
9,ESC205,7.0
9,CSE478,7.0
9,CSE344,7.0
9,SSH325,6.0
9,CSE556,4.5
9,CSE465,4.5
9,ECE351,7.0
9,CSE557,8.5
9,MTH341,4.5
9,MTH373,9.0
10,CSE101,6.5
10,MTH100,8.5
10,COM101,9.0
10,DES102,7.0
10,CSE102B,10.0
10,ECE113A,9.0
10,MTH201A,4.5
10,CSE112B,7.0
10,SOC101,3.0
10,ECE215,6.5
10,MTH270,5.0
10,ECE250,7.0
10,MTH203B,10.0
10,SSH240,8.5
10,ECE230,6.5
10,ECE214,4.5
10,ECE210,9.0
10,ECE211,6.5
10,ECE314,8.5
10,ECE528,6.5
10,ECE431,3.0
10,CSE521,7.0
10,COM301A,10.0
10,ESC205,3.0
10,MTH310,6.0
10,ECE343,8.0
10,SSH325,6.5
10,CSE556,8.5
10,SSH711,9.0
10,MTH373,9.0
10,ECE431,6.5
11,CSE101,10.0
11,MTH100,5.0
11,COM101,4.5
11,DES102,9.0
11,ECE111,7.0
11,CSE102B,8.5
11,SOC101,4.5
11,MTH201B,8.5
11,CSE112A,6.5
11,SSH101,10.0
11,CSE231A,10.0
11,SSH201,6.5
11,MTH210,6.5
11,CSE201B,10.0
11,MTH203B,6.5
11,CSE222B,7.0
11,CSE202B,6.5
11,ECO221,9.0
11,ECO324,10.0
11,SSH614,10.0
11,ENT415,10.0
11,PSY307,5.0
11,CSE502,5.0
11,COM301A,10.0
11,ESC205,4.5
11,ENT304,5.0
11,CSE478,7.0
11,SSH325,6.5
11,CSE556,6.5
11,SSH711,3.0
11,MTH373,5.0
11,CSE557,4.5
11,CSE634,4.5
11,MTH341,9.0
12,CSE101,4.5
12,MTH100,9.0
12,COM101,3.0
12,DES102,10.0
12,ECE111,8.5
12,CSE102A,7.0
12,MTH201A,9.0
12,CSE112B,5.0
12,SOC101,10.0
12,CSE231B,6.5
12,BIO214,7.0
12,CSE121,8.5
12,CSE201B,3.0
12,BIO211,8.5
12,CSE222B,10.0
12,CSE202B,9.0
12,MTH300,9.0
12,BIO213,7.0
12,BIO221,8.5
12,CSE502B,7.0
12,CSE502A,5.0
12,BIO542,6.5
12,CSE521,3.0
12,COM301A,9.0
12,ESC205,3.0
12,SSH325,5.0
12,BIO321,8.5
12,SSH711,7.0
12,BIO361,7.0
12,CSE557,9.0
12,SSH711,9.0
12,BIO544,9.0
12,CSE634,9.0
13,CSE101,9.0
13,MTH100,9.0
13,COM101,9.0
13,DES102,10.0
13,ECE111,8.5
13,ECE113B,3.0
13,MTH201A,10.0
13,SSH101,8.5
13,ECE215,8.5
13,ECE250,10.0
13,MTH203A,8.5
13,CSE201B,8.5
13,ECE230,8.5
13,ECE210,9.0
13,ECE211,6.5
13,MTH204A,8.5
13,ECE528,4.5
13,ECE431,8.5
13,ECE528,8.5
13,COM301A,10.0
13,ESC205,5.0
13,CSE465,10.0
13,CSE322,8.0
13,ECE343,4.5
13,MTH342,8.0
13,MTH373,5.0
13,CSE634,4.5
13,SSH711,4.5
14,CSE101,10.0
14,MTH100,6.5
14,COM101,8.5
14,DES102,5.0
14,ECE111,8.5
14,CSE102B,6.5
14,BIO102,9.0
14,MTH201B,5.0
14,CSE112B,8.5
14,ECO223,7.0
14,CSE231A,3.0
14,BIO214,6.5
14,CSE121,8.5
14,CSE201B,3.0
14,BIO211,5.0
14,CSE222B,3.0
14,MTH300,9.0
14,BIO213,3.0
14,BIO221,4.5
14,BIO361,8.5
14,SSH614,5.0
14,CSE232,8.5
14,CSE524,10.0
14,COM301A,4.5
14,ESC205,10.0
14,BIO361,8.5
14,CSE344,5.0
14,BIO321,7.0
14,CSE556,10.0
14,SSH711,8.5
14,CSE643,4.5
14,CSE634,9.0
14,CSE557,5.0
14,SSH711,7.0
15,CSE101,6.5
15,MTH100,4.5
15,COM101,8.5
15,DES102,7.0
15,ECE111,3.0
15,CSE102B,6.5
15,ECE113B,6.5
15,MTH201A,8.5
15,CSE112A,4.5
15,SSH101,10.0
15,MTH240,8.5
15,MTH210,9.0
15,ENT202,9.0
15,SSH201,7.0
15,MTH204B,10.0
15,MTH212,9.0
15,CSE222B,3.0
15,CSE322,5.0
15,SOC309,7.0
15,MTH523,7.0
15,MTH533,9.0
15,MTH340,10.0
15,CSE232,6.5
15,COM301A,9.0
15,ESC205,8.5
15,CSE322,8.5
15,CSE344,7.0
15,ECE331,8.0
15,SSH711,4.5
15,CSE643,7.0
15,ECE431,6.5
16,MTH100,7.0
16,COM101,8.5
16,DES102,10.0
16,ECE111,4.5
16,CSE102B,10.0
16,DES101,6.5
16,MTH201A,7.0
16,CSE112A,4.5
16,DES202,6.5
16,CSE231B,4.5
16,SSH201,10.0
16,CSE201A,10.0
16,DES201,4.5
16,MTH203A,8.5
16,CSE222B,7.0
16,DES205,8.5
16,CSE202A,3.0
16,SOC309,5.0
16,CSE232,5.0
16,CSE521,10.0
16,CSE502B,6.5
16,CSE502,10.0
16,COM301A,7.0
16,ESC205,10.0
16,CSE478,8.0
16,SSH711,8.0
16,CSE344,6.0
16,CSE634,7.0
16,DES522,9.0
16,CSE557,7.0
16,SSH711,5.0
16,CSE643,7.0
17,CSE101,3.0
17,MTH100,7.0
17,COM101,9.0
17,DES102,8.5
17,ECE111,8.5
17,CSE102B,8.5
17,DES101,7.0
17,MTH201B,9.0
17,CSE112B,5.0
17,DES202,10.0
17,CSE231B,5.0
17,SSH201,7.0
17,CSE201A,5.0
